	sex	days	col	bl	weight	melanoma	weightM	weightF	weightRes	daysM	daysF	daysRes
X33311	1	1	1	1	0.624850817610064	1	1	0.400101740674949	1	1	1	1
X33115	1	1	1	1	1	1	1	1	1	1	1	1
X19663	1	1	1	1	1	1	1	1	1	1	1	1
X10243	1	1	1	1	1	1	1	1	1	1	1	1
X33798	1	1	1	1	1	1	1	1	1	1	1	1
X21632	1	1	1	1	1	1	1	1	1	1	1	1
X25161	1	1	1	1	0.788006954102919	1	1	0.34751710843373	1	1	1	1
X20290	1	1	1	1	1	1	1	1	1	1	1	1
X40885	1	1	1	1	1	1	1	1	1	1	1	1
X53535	1	1	1	1	1	1	1	1	1	1	1	1
X24282	1	1	1	1	0.960514562211982	1	1	0.92883750336776	1	1	1	1
X22003	1	1	1	1	1	1	1	1	1	1	1	1
X12555	1	1	0.871380627615061	1	1	1	1	1	1	1	1	1
X42526	1	1	1	1	1	1	1	1	1	1	1	1
X55309	1	1	1	1	1	1	1	1	1	1	1	0.77204392156863
X47723	1	1	1	1	1	1	1	1	1	1	1	1
X40930	1	1	1	1	1	1	1	1	1	1	1	1
X9091	1	1	1	1	1	1	1	1	1	1	1	1
X36286	1	1	1	1	1	1	1	1	1	1	1	1
X45830	0.430680000000004	1	1	1	1	1	1	1	1	1	1	1
X18552	1	1	1	1	1	1	1	1	1	1	1	1
X9722	1	1	1	1	1	1	1	1	1	1	1	1
X37068	1	1	1	1	1	1	1	1	1	1	1	1
X30955	1	1	1	1	1	1	1	1	1	1	1	1
X3808	1	1	1	1	1	1	1	0.934951326530614	1	1	1	1
X31495	0.806349449423817	1	1	1	1	1	1	1	1	1	1	1
X12557	1	1	1	1	1	1	1	1	1	1	0.839054058577406	1
X13043	1	1	1	1	1	1	1	1	1	1	1	1
X21916	1	1	1	1	0.745475358778626	1	0.765304398826979	1	0.420273641025644	1	1	1
X27752	1	1	1	1	1	1	1	1	1	1	1	1
X5973	1	1	1	1	1	0.779512068965519	1	1	1	1	0.4936987972028	1
X38377	1	1	1	1	1	1	1	1	1	1	1	1
X48654	1	1	1	1	1	1	1	1	1	1	1	1
X37982	1	1	1	1	1	1	1	1	1	1	1	1
X53031	1	0.761605714285712	1	1	1	1	1	1	1	0.736285961538459	1	0.607548040313551
X46587	1	1	1	1	1	1	1	1	1	1	1	1
X51967	1	1	1	1	1	1	1	1	1	1	1	1
X25216	1	1	1	1	1	1	1	1	1	1	1	1
X45145	1	1	1	1	1	1	1	1	1	1	0.975959874608149	1
X32829	1	1	1	1	1	1	1	1	1	1	1	1
X11379	1	1	1	1	1	1	1	1	1	1	1	1
X4662	1	1	1	1	1	1	1	1	1	1	1	1
X38841	1	1	1	1	1	1	1	1	1	1	1	1
X27979	1	1	1	1	1	1	1	1	1	1	1	1
X6137	1	1	1	1	1	1	1	1	1	1	1	1
X23953	1	1	1	1	1	1	1	1	1	1	1	1
X33034	1	1	1	1	1	1	1	1	1	1	1	1
X40661	1	1	1	1	1	1	1	1	1	1	1	1
X2728	1	1	1	1	1	1	1	1	1	1	1	1
X8594	1	1	1	1	1	1	1	1	1	1	1	1
X20527	1	1	1	1	1	1	1	1	1	1	1	1
X37710	1	1	1	1	1	1	1	1	1	1	1	1
X6098	1	1	1	1	1	1	1	1	1	1	1	1
X47753	1	1	1	1	1	1	1	1	1	1	0.881688848484849	1
X26827	1	1	1	1	1	1	1	1	1	1	1	1
X8202	1	1	1	1	1	1	1	1	1	1	1	1
X48737	1	1	1	1	0.569299176029961	1	0.926399351643403	0.432658800000001	1	1	1	1
X31176	1	1	1	1	1	1	1	1	0.881937122665321	1	1	1
X17841	1	1	1	1	1	1	1	1	1	1	1	1
X49010	0.793382400000003	1	1	1	1	1	1	1	1	1	1	1
X32068	1	1	1	1	1	1	1	1	1	1	0.958912569659443	1
X40620	1	1	1	1	1	1	1	1	1	1	1	1
X10192	0.0127177777777778	0.454318153846151	1	0.0199060869565416	0.0431924528301839	1	1	1	1	1	1	1
X27684	1	1	1	1	1	1	1	1	1	1	1	1
X49458	1	1	0.954803847376789	1	1	1	1	1	1	1	1	1
X7809	1	1	1	1	1	1	1	1	1	1	1	1
X4360	1	1	1	1	1	1	1	1	1	1	1	1
X42593	1	1	1	1	1	1	1	1	1	1	1	1
X24834	1	1	1	1	1	1	1	1	1	1	1	1
X29675	1	1	1	1	1	1	1	1	1	1	1	1
X5874	1	1	1	1	1	1	1	1	1	1	1	1
X52360	1	1	1	1	1	1	1	1	1	1	1	1
X26712	1	1	1	1	1	1	1	1	1	0.929127903871829	1	1
X22695	1	1	1	1	1	1	1	1	1	1	1	1
X38686	1	1	1	1	1	1	1	1	1	1	1	1
X53056	1	1	1	1	1	1	1	1	1	1	1	1
X28482	1	1	1	1	1	1	1	1	1	1	1	1
X38031	1	1	0.951457484737484	1	1	1	1	1	1	1	1	1
X50636	1	1	1	0.603709953488373	1	1	1	1	1	1	1	1
X36772	1	1	1	1	1	1	1	1	1	1	1	1
